# units: length=mm, velocity=mm/s
x y z u v w
4.274948 8.939122 -3.146355 2.121349 12.510492 -1.561309
0.152315 8.707469 -0.131430 0.111314 16.723890 -0.096051
-6.029214 -3.328462 6.243603 1.575141 9.548640 -1.631150
-12.173266 16.697256 13.637166 -0.980393 4.421574 1.098291
11.245252 -7.886870 12.983888 -0.966948 4.728652 -1.116449
-14.230445 5.004057 -14.059400 -0.473060 3.882986 -0.467374
8.034204 -9.282659 14.896144 -0.746931 4.823660 -1.384877
-10.466320 -9.295037 -4.736431 1.970188 6.970085 0.891589
14.695014 -10.969231 -14.347956 -0.938625 3.966128 0.916457
0.349081 -7.759081 12.321786 -0.059068 6.622581 -2.084962
11.659009 15.393816 14.197841 0.944639 4.428936 1.150341
-1.405000 12.685061 -13.787721 -0.190973 5.830494 -1.874078
2.727236 -7.027188 6.061894 -1.116561 11.034765 -2.481808
-1.928273 11.136330 -13.043679 -0.289860 6.169130 -1.960741
-4.043971 2.701500 8.837644 -0.399287 8.419953 0.872598
4.097293 -9.700368 15.801344 -0.413187 5.005645 -1.593468
12.237606 10.980301 -0.584419 2.089014 6.608273 -0.099763
-12.971635 -5.573808 -1.124757 1.818853 6.265195 0.157711
4.079083 9.487422 7.969182 1.155880 8.817616 2.258209
15.109434 -6.164597 11.889622 -0.884111 4.146905 -0.695707
-14.977698 16.734308 -11.921574 -1.114356 4.238421 -0.886977
2.813996 -8.460705 -4.305738 -1.254223 11.681908 1.919106
7.186877 6.949685 -2.956294 2.527952 10.422489 -1.039863
2.191104 -11.012278 3.751875 -0.801963 10.567803 -1.373219
10.177182 -0.214166 5.937407 -0.458294 6.762590 -0.267370
-13.298984 14.496231 10.515438 -1.252451 4.793464 0.990306
-4.521334 -3.135885 -6.608201 1.326326 10.389398 1.938506
-1.066567 9.626326 -15.187513 -0.118265 5.359139 -1.684042
-15.735600 -7.472150 2.716920 1.563192 5.096422 -0.269902
1.425497 4.525801 11.129880 0.189806 7.230215 1.481949
-7.117034 -12.603573 9.175290 1.169934 6.538775 -1.508281
-1.665154 12.660026 -11.246938 -0.305354 6.888177 -2.062447
14.163041 0.728167 -12.767192 -0.038773 4.023733 0.034952
8.842892 7.803107 -4.732805 2.103268 8.157673 -1.125690
-6.584325 -2.233714 14.690108 0.327272 4.869571 -0.730169
-7.993727 -6.114260 5.321076 2.061401 8.476394 -1.372185
2.446736 7.587450 7.037924 0.918229 10.648597 2.641244
1.660510 -4.493948 -0.630657 -0.889017 19.177611 0.337646
8.652084 -2.131661 1.141295 -1.808066 9.527482 -0.238502
2.382921 11.486644 -7.424307 0.716889 9.174207 -2.233564
-7.901197 9.852653 -2.726245 -2.416578 9.214057 -0.833821
-15.006205 -9.976654 -9.854299 1.251063 4.546443 0.821550
-3.924527 -14.909360 -14.355688 0.429056 5.242473 1.569463
-15.085294 -2.728962 -6.908644 0.783680 4.731035 0.358904
11.325519 -14.022843 -1.097783 -1.772306 6.423970 0.171790
-12.711217 1.740053 13.829443 -0.098694 4.089554 0.107376
-6.255210 6.552147 -8.439362 -1.277836 7.818988 -1.724022
6.855344 -3.840531 -11.420043 -0.765534 6.052268 1.275272
-1.996760 -12.690609 5.583991 0.548002 8.972385 -1.532501
11.541784 8.730478 -7.573993 1.520747 5.916571 -0.997950
-4.465686 1.402980 -11.061871 -0.065441 6.656914 -0.162104
7.401106 -4.871753 -14.641553 -0.565320 4.870807 1.118368
4.660532 14.779123 -10.202575 0.790717 6.670467 -1.730993
1.171646 -5.217139 -1.200649 -0.812468 18.298676 0.832580
-2.900585 9.157117 7.619687 -0.939356 9.552151 2.467640
-2.489507 -13.715678 -1.265596 0.726532 9.487808 0.369348
5.759842 12.276219 -3.445857 1.842684 9.599385 -1.102396
-0.515227 2.215904 -13.656167 -0.015777 5.745766 -0.418170
-7.187467 -7.858999 -4.744662 2.117328 9.011385 1.397712
-5.225901 11.538456 -4.593861 -1.729489 9.737071 -1.520318
-4.655453 4.315837 -12.812852 -0.365987 5.832730 -1.007278
-10.055273 5.864055 -15.170003 -0.510008 4.321356 -0.769429
-5.584483 -7.611647 3.289086 2.260843 10.944190 -1.331566
-3.263887 1.847827 -7.537028 -0.233481 10.254035 -0.539160
-7.694655 11.333681 15.731366 -0.666431 4.657752 1.362487
-12.449513 -6.214778 11.118595 1.035640 4.828571 -0.924925
7.738208 8.138420 -10.070771 1.181914 6.440311 -1.538183
-14.588214 12.112949 10.455624 -1.219977 4.548599 0.874379
6.159490 -7.020992 5.859785 -1.895920 9.277078 -1.803669
15.340011 8.817342 -15.824287 0.671180 3.598165 -0.692368
7.294854 -7.420218 -15.443176 -0.621188 4.746147 1.315052
-4.969364 14.522252 -13.751033 -0.597788 5.471641 -1.654176
7.997251 -0.537381 -11.044236 -0.309500 5.767045 0.427420
14.397163 -5.946335 5.954400 -1.381259 5.189036 -0.571263
15.877269 -3.483658 -8.672460 -0.765219 4.336495 0.417977
-10.454980 6.356955 0.760626 -2.110301 7.835390 0.153530
-15.243750 8.611258 -8.663260 -1.160790 4.592854 -0.659695
-4.305544 12.209855 13.690286 -0.554221 5.664959 1.762251
-1.491084 13.166665 4.565342 -0.519137 10.249061 1.589474
13.127402 8.197975 -9.318896 1.188372 5.018558 -0.843603
-0.751101 11.462617 -2.514411 -0.368706 12.586956 -1.234291
-2.113669 7.061756 11.153156 -0.382836 7.219259 2.020102
1.182017 6.313631 -0.984136 0.509303 19.539832 -0.424041
0.221284 -6.244496 -1.087335 -0.163265 17.166033 0.802246
6.680650 9.613518 -12.621075 0.846870 5.723912 -1.599906
-7.042459 -5.596297 -2.445617 2.641064 10.641809 0.917156
-2.139542 -5.286322 12.649189 0.303581 6.356116 -1.794800
-8.962196 7.109411 2.983317 -2.314817 8.684124 0.770551
7.875747 16.917329 -10.838706 0.983686 5.662310 -1.353762
14.222740 5.209522 -11.989780 0.602740 4.200837 -0.508110
9.442924 1.274097 1.791229 0.159321 8.507834 0.030222
8.193594 -9.366134 -4.998240 -1.976386 8.031062 1.205631
11.343303 -9.144024 -0.533440 -2.180884 7.052857 0.102560
15.998190 -10.256490 -4.765743 -1.552827 4.894276 0.462576
-3.443202 4.452767 -2.045989 -0.638993 19.050392 -0.379697
9.932097 -0.587528 12.967876 -0.242707 4.750199 -0.316892
11.421352 2.123219 11.119858 0.212700 4.867448 0.207085
-6.496491 -4.444259 -3.783312 2.354476 10.834688 1.371158
2.580759 -3.887045 1.588827 -1.213665 18.627444 -0.747185
13.879814 -10.858164 -3.698119 -1.772552 5.637639 0.472276
-13.438732 3.056551 -11.344417 -0.343608 4.400867 -0.290059
13.601365 16.430373 13.499882 1.013220 4.239761 1.005660
0.293213 -7.996192 5.837773 -0.125416 11.344937 -2.496993
-15.854428 14.887348 12.192402 -1.095658 4.083216 0.842585
-6.705288 -7.043021 15.959031 0.541705 4.668872 -1.289294
13.426069 14.122808 13.912279 0.988260 4.224571 1.024049
-5.292739 2.321670 -7.683170 -0.450507 8.818843 -0.653976
-15.412416 7.525138 2.204393 -1.430300 5.178237 0.204572
-8.579068 -0.586837 15.802209 0.160280 4.290873 -0.295228
-13.188829 2.560830 1.277441 -0.558755 5.950553 0.054120
5.183165 11.618506 5.862447 1.540206 9.113648 1.742059
-13.562289 -9.849425 -13.288549 1.000060 4.289370 0.979875
5.996613 1.575464 -13.468354 0.071327 5.284730 -0.160201
-11.503523 16.933555 -12.881622 -1.011583 4.641110 -1.132769
14.028683 8.530574 15.870032 0.662913 3.747093 0.749925
-11.756628 -2.247678 -3.132441 1.207939 6.602461 0.321844
-4.333226 -6.131028 11.627590 0.694073 6.595822 -1.862445
15.956750 -1.608066 -9.159040 -0.451207 4.207214 0.258989
-13.581023 14.260336 -15.713946 -0.865530 3.930495 -1.001462
-9.512479 -12.419398 -14.317671 0.874627 4.733313 1.316442
-9.921700 -5.087043 -11.516936 0.935458 5.296487 1.085863
9.569897 2.206845 4.528809 0.558269 7.625254 0.264192
3.320297 -3.340584 0.802911 -1.158297 18.801139 -0.280098
1.984943 12.088795 -6.831533 0.617923 9.418066 -2.126690
-0.261453 -3.182207 10.123923 0.049362 8.109756 -1.911388
11.168431 -12.795765 -3.845622 -1.782798 6.436105 0.613870
-14.097988 1.752886 -13.936818 -0.095485 3.865732 -0.094394
3.368601 8.315834 -9.572189 0.793287 8.037373 -2.254197
6.796350 13.015217 15.669535 0.633965 4.780889 1.461657
-1.718008 0.269213 6.749056 0.134417 12.587786 -0.528047
-13.316353 0.648910 -0.690989 0.126984 5.889347 0.006589
8.264347 -5.196523 -2.709201 -2.462511 9.382882 0.807255
-2.897264 -12.594568 9.260266 0.577202 7.332957 -1.844858
-2.210388 -11.529424 -6.740339 0.611979 8.887386 1.866164
-6.591733 12.662616 -7.332969 -1.445152 7.643221 -1.607658
-10.016334 -2.815356 -14.025160 0.479302 4.545045 0.671133
-14.731273 10.681570 1.394987 -1.779872 5.524145 0.168546
-10.027470 -8.733493 7.318168 1.677423 6.541856 -1.224203
0.252126 -7.260832 2.291323 -0.163458 15.091291 -1.485506
-6.582162 4.762654 2.300507 -2.247311 12.007327 0.785449
-13.123649 10.920463 -0.828697 -1.983422 6.192285 -0.125244
1.492078 14.253354 9.145361 0.317172 7.602869 1.944036
-0.950247 6.690476 15.153570 -0.086085 5.287567 1.372802
-12.315321 12.170586 -4.171329 -1.874048 6.199140 -0.634760
10.728993 -11.054766 0.639046 -2.081938 7.131398 -0.124006
7.436255 12.797362 -14.131335 0.787440 5.106740 -1.496396
0.196292 9.848284 -15.379189 0.021465 5.306244 -1.681774
-11.951808 14.606108 5.286352 -1.688789 5.991074 0.746961
0.840184 -8.487093 6.732541 -0.307532 10.296756 -2.464306
-13.571012 12.742793 -7.291544 -1.534796 5.285808 -0.824628
13.427360 -7.960231 -7.800716 -1.444028 5.255356 0.838918
-12.546637 2.700378 -11.113722 -0.305151 4.623874 -0.270301
-12.835388 14.552791 -9.812154 -1.313001 5.009559 -1.003738
9.636216 -11.371886 -9.172793 -1.378180 6.001904 1.311901
-0.710888 14.226116 -8.698478 -0.159581 7.859114 -1.952644
-6.674590 12.469716 0.843933 -2.096765 9.509202 0.265114
3.319984 -6.853145 -4.978642 -1.510653 11.818989 2.265373
13.946437 6.550731 2.317282 1.477518 5.704463 0.245498
-12.232883 10.243066 -8.576134 -1.437366 5.470508 -1.007697
-5.748503 -9.435795 10.936661 0.961946 6.531454 -1.830125
-8.768777 -7.805387 1.002053 2.507770 8.856573 -0.286576
9.677429 -11.122377 -13.273885 -0.971971 4.964627 1.333188
7.698224 -11.949719 3.875732 -1.781087 7.983521 -0.896703
9.387251 10.772050 -3.453839 2.194397 7.876326 -0.807382
10.392533 -2.590314 15.551455 -0.377141 4.158631 -0.564357
-13.521714 2.404289 15.129195 -0.159019 3.778170 0.177923
-13.146474 14.160851 15.577595 -0.869898 4.005716 1.030764
8.180543 -4.353373 -0.056751 -2.595487 10.038644 0.018006
-8.395753 2.885752 13.496990 -0.261285 4.896631 0.420040
-5.201091 -8.044241 9.847965 1.049593 7.264425 -1.987343
6.745756 -7.543272 4.290901 -2.205562 9.593355 -1.402933
-4.867202 3.321957 -10.368316 -0.433811 7.015956 -0.924123
0.561324 11.981845 0.771014 0.274151 12.634008 0.376564
8.633830 12.529742 10.767530 1.184403 5.859542 1.477108
15.873069 -8.512909 -2.508276 -1.614267 5.079563 0.255088
6.289271 -14.030314 14.655878 -0.638555 5.007762 -1.488023
14.320185 -1.720429 11.235133 -0.434140 4.258007 -0.340612
1.856259 9.996554 -1.238237 1.115109 14.280665 -0.743845
5.185599 12.260523 -8.173716 1.185893 7.816819 -1.869245
1.542162 -0.953530 12.090352 -0.100421 6.535395 -0.787290
15.899687 4.918956 9.881168 0.622326 4.164133 0.386756
11.867444 -8.414090 -3.336437 -2.011980 6.598779 0.565652
-7.005684 3.083987 10.672023 -0.430350 6.215018 0.655568
-3.175647 -5.710319 -5.081880 1.516907 12.400116 2.427455
-11.059623 -2.355435 14.787635 0.391116 4.209305 -0.522954
3.039914 14.965000 -1.152942 0.948741 9.801106 -0.359827
4.494021 15.006518 -0.904572 1.305084 9.351832 -0.262692
-11.939021 -5.586680 -4.655010 1.734391 6.371211 0.676237
10.939060 5.120451 6.871376 1.171634 6.223250 0.735963
-4.238957 15.495855 4.979950 -1.032619 8.402780 1.213126
13.036847 -0.727950 -11.339746 -0.295918 4.477677 0.257396
-8.788083 -2.210603 -8.663171 0.863770 6.498911 0.851493
-11.231147 -8.928494 -11.765616 1.125316 5.020813 1.178867
-3.990118 3.657797 8.593959 -0.619145 8.689582 1.333522
15.136459 7.268767 -2.305441 1.427911 5.262571 -0.217486
-14.359367 10.658107 14.420717 -0.865138 3.966034 0.868835
-15.511085 15.761029 -8.225214 -1.355285 4.611271 -0.718680
-1.161046 -13.130947 12.559373 0.168457 6.101864 -1.822251
-12.585984 13.341477 3.950580 -1.824831 6.047193 0.572791
-9.661275 9.241508 -8.560006 -1.485375 6.338393 -1.316061
-14.155581 -12.632001 6.296927 1.550135 5.198262 -0.689557
-5.201493 14.276241 -10.707732 -0.841633 6.464399 -1.732576
0.830168 3.597482 -5.923955 0.240339 14.505939 -1.715021
-0.130100 14.273393 4.878834 -0.040066 9.611934 1.502498
-15.057411 -10.096899 2.000076 1.749577 5.370234 -0.232396
-8.114763 -1.419818 2.585534 1.445203 9.802404 -0.460472
-14.820265 -5.228635 -4.052734 1.381104 5.241418 0.377675
6.977534 -3.090761 -11.002687 -0.727960 6.164412 1.147900
-10.055435 -9.735726 0.097509 2.249859 7.697090 -0.021817
2.995073 11.906349 -7.188882 0.876184 9.046641 -2.103048
-7.634716 -3.432905 12.148498 0.666381 5.565627 -1.060358
-7.155317 -10.045150 6.704440 1.628870 7.786325 -1.526230
12.084763 -2.468486 13.332276 -0.472802 4.329932 -0.521609
1.761623 7.835686 15.866529 0.158153 5.051819 1.424448
-11.678424 -13.206171 3.214259 1.775140 6.272766 -0.488573
-12.502582 6.052088 -15.949981 -0.490132 3.857510 -0.625279
-2.796357 -13.863480 -7.888616 0.574091 7.574169 1.619529
9.108108 -6.877250 -7.328289 -1.679315 6.995950 1.351159
0.252041 -12.468404 -8.334489 -0.057670 7.973656 1.907043
-1.999464 7.447737 3.648750 -1.231347 15.127680 2.247041
2.590932 -5.767118 -6.042401 -1.125982 11.634263 2.625942
13.351033 9.366106 15.298548 0.749936 3.944077 0.859329
-1.644413 -12.868060 -3.191591 0.510929 9.756996 0.991647
13.477545 -13.308718 -9.408071 -1.324004 4.907664 0.924228
8.924142 -9.343165 13.942505 -0.869750 4.934377 -1.358842
-7.418457 14.721418 2.515946 -1.741701 8.126790 0.590692
4.996922 -2.496907 2.947182 -1.919154 14.426153 -1.131916
0.872849 10.846387 -11.298047 0.169394 7.091651 -2.192618
15.959947 -3.584078 -5.583646 -0.937402 4.666584 0.327954
5.018826 8.837162 7.994306 1.332155 8.531845 2.121941
12.861018 -5.247919 -1.126310 -1.794375 6.312715 0.157143
-12.169980 -4.475796 -3.625150 1.642873 6.399017 0.489373
10.012617 9.395574 6.236964 1.829387 6.919809 1.139545
3.868345 3.214280 4.443944 0.950540 14.966570 1.091978
-12.548517 -9.101848 -7.816643 1.526955 5.526725 0.951161
-1.497749 8.257232 -3.832700 -0.899666 14.425563 -2.302223
-14.754064 -8.027176 3.634754 1.664432 5.375002 -0.410043
11.294309 5.724635 0.425362 1.814380 7.221387 0.068332
14.624723 12.559003 11.935529 1.109421 4.322816 0.905420
